Organization Hierarchy (DO NOT EDIT),CXS1-710 Enterprise account
Realm --> Gender --> Race --> Name,Middle Earth
Middle Earth,ALL
Middle Earth --> ?,ALL
Middle Earth --> ? --> Elf,ALL
Middle Earth --> ? --> Elf --> Elemmírë,"Conqueror, Elemmire, Fearless, Just, Sovereign, Tenacious, The"
Middle Earth --> ? --> horse,ALL
Middle Earth --> ? --> horse --> Arroch,"Arroch, Audacious, Brook, Heroic, Serene, The, Transcendent, Whisper, Whispering, Wise"
Middle Earth --> ? --> horse --> Asfaloth,"Asfaloth, Benevolent, Cruel, Defiant, Dreamer, Feathered, Gentle, Golden, Horizon, Rain, Steadfast, Tenacious, Victorious"
Middle Earth --> f,ALL
Middle Earth --> f --> Dwarf,ALL
Middle Earth --> f --> Dwarf --> Dís,"Dis, Dream, Feathered, Fox, Mountain, Pious, Red, Smiling, Song, The, Wise, Wolf"
Middle Earth --> f --> Elf,ALL
Middle Earth --> f --> Elf --> Amarië,"Amarie, Autumn, Empowered, Legendary, Noble, Precious, River, Sky, Swift, Virtuous"
Middle Earth --> f --> Elf --> Anairë,"Adroit, Anaire, Gracious, Great, Lake, Sagacious, Serene, Terrible"
Middle Earth --> f --> Elf --> Aredhel,"Aredhel, Conqueror, Passionate, Resilient, Sovereign, The"
Middle Earth --> f --> Elf --> Celebrían,"Autumn, Celebrian, Laughing, Leaves, Singing, Songbird, Spirit, Thunder, Wandering"
Middle Earth --> f --> Elf --> Eldalótë,"Eldalote, Morning, Shining, Singing, Star, Thunder"
Middle Earth --> f --> Elf --> Elenwë,"Bear, Brave, Canyon, Elenwe, Fair, Formidable, Laughing, Little, Passionate, Singing, Strong, Sun, Sunlit, The, Thunder"
Middle Earth --> f --> Elf --> Eärwen,"Earwen, Empowered, Feather, Indomitable, Little, Otter, Pious, Serene, Swift, The, Whisper"
Middle Earth --> f --> Elf --> Findis,"Audacious, Autumn, Dauntless, Falcon, Feathered, Findis, Leaves, Little, Precious, Song, The"
Middle Earth --> f --> Elf --> Finduilas,"Bear, Brave, Breeze, Conscientious, Defiant, Eagle, Finduilas, Gentle, Little, Strong"
Middle Earth --> f --> Elf --> Galadriel,"Benevolent, Defiant, Feathered, Galadriel, Heroic, Lionheart, Song, The"
Middle Earth --> f --> Elf --> Idril,"Blue, Bold, Doe, Gentle, Graceful, Idril, Mist, Morning, Sky, Wise"
Middle Earth --> f --> Elf --> Indis,"Compassionate, Dancing, Indis, Radiant, Rainbow, Saint, The, Valiant"
Middle Earth --> f --> Elf --> Irimë,"Benevolent, Conscientious, Gallant, Great, Honorable, Irime, Kind, Mighty, River, Singing, Skilled, Sunflower, The, Wandering, Wolf"
Middle Earth --> f --> Elf --> Lúthien,"Fair, Golden, Great, Heroic, Horizon, Luthien, Pious, Quiet, Skilled, Spirited, Storm, The, Valiant, Visionary"
Middle Earth --> f --> Elf --> Mithrellas,"Bear, Brave, Enigmatic, Fearless, Fox, Inspiring, Mithrellas, Pious, Resilient, Running, Smiling, The, Zealous"
Middle Earth --> f --> Elf --> Míriel,"Fair, Fierce, Fire, Heart, Miriel, Passionate, Rising, Strong, Tenacious, The, Therinde"
Middle Earth --> f --> Elf --> Nellas,"Brook, Empirical, Great, Nellas, Night, Outspoken, Starry, Whispering"
Middle Earth --> f --> Elf --> Nerdanel,"Chivalrous, Falls, Formidable, Intrepid, Nerdanel, Precious, Spirited, Thundering"
Middle Earth --> f --> Elf --> Nimloth,"Autumn, Courageous, Flame, Gallant, Illuminated, Magnificent, Nimloth, Oak, Owl, Strong, Whispering"
Middle Earth --> f --> Ent,ALL
Middle Earth --> f --> Ent --> Fimbrethil,"Fimbrethil, Gentle, Majestic, Pious, Sovereign, Spirit, The"
Middle Earth --> f --> Half-elf,ALL
Middle Earth --> f --> Half-elf --> Arwen,"Arrow, Arwen, Bear, Benevolent, Gentle, Little, Sky, Swift, Thundering, Whispering, Wind"
Middle Earth --> f --> Half-elf --> Elwing,"Brave, Conscientious, Eagle, Elwing, The"
Middle Earth --> f --> Half-elf --> Gilmith,"Empirical, Fox, Gilmith, Magnificent, Smiling, Spirit, The, Wandering"
Middle Earth --> f --> Hobbit,ALL
Middle Earth --> f --> Hobbit --> Adaldrida,"Adaldrida, Bolger, Brave, Eagle, Revered, Serene, The, Valley"
